"plot_id","line","audpc","trial","Name","CR_1","CR_2","CR_3","CR_4","CR_5","CR_6","CR_7"
9224,"Ogle",327.5,"2018","Ogle",5,5,5,10,20,20,70
9225,"IL06-8153",327.5,"2018","IL06-8153",5,5,5,10,20,20,70
9226,"BETAGENE",166.5,"2018","BETAGENE",1,1,1,10,20,10,20
9227,"MN841801-1",190.5,"2018","MN841801-1",5,1,1,10,20,10,30
9228,"Marvelous",335.5,"2018","Marvelous",1,1,5,20,30,20,50
9229,"SD100184",279.5,"2018","SD100184",5,1,5,10,20,20,50
9230,"SD050834",279.5,"2018","SD050834",5,1,5,10,20,20,50
9231,"ND011054",314.5,"2018","ND011054",5,1,5,20,20,20,50
9232,"SD111946",239.5,"2018","SD111946",5,1,5,10,20,20,30
9233,"03P26A-BV3A",121.5,"2018","03P26A-BV3A",1,1,1,10,10,10,10
9234,"MN09105",262.5,"2018","MN09105",5,5,5,20,20,20,20
9235,"MN05157",302.5,"2018","MN05157",5,5,5,20,20,20,40
9236,"WIX10045-9",56,"2018","WIX10045-9",1,1,1,5,5,5,1
9237,"Marvelous",367.5,"2018","Marvelous",5,5,5,20,30,20,60
9238,"00P28-AN01B1",319.5,"2018","00P28-AN01B1",5,1,5,20,30,20,40
9239,"SD050716",354.5,"2018","SD050716",5,1,5,20,20,20,70
9240,"IL02-5630",319.5,"2018","IL02-5630",5,1,5,10,20,20,70
9241,"Ogle",327.5,"2018","Ogle",5,5,5,10,20,20,70
9242,"Deon",247.5,"2018","Deon",5,5,5,10,20,20,30
9243,"IL07-8721",267.5,"2018","IL07-8721",5,5,5,10,20,20,40
9244,"OT2074",110.5,"2018","OT2074",0,1,1,10,10,10,5
9245,"WIX8791-1",141.5,"2018","WIX8791-1",1,1,1,10,10,10,20
9246,"MN02231",302.5,"2018","MN02231",5,5,5,20,20,20,40
9247,"NEWBURG",287.5,"2018","NEWBURG",5,5,5,10,20,20,50
9248,"OT2083",267.5,"2018","OT2083",5,5,5,10,20,20,40
9249,"IA02168-1-1",342.5,"2018","IA02168-1-1",5,5,5,20,20,20,60
9250,"SD090882",362.5,"2018","SD090882",5,5,5,20,20,20,70
9251,"ND040492",347.5,"2018","ND040492",5,5,5,10,20,20,80
9252,"MN11211",196.5,"2018","MN11211",1,1,1,10,10,20,30
9253,"Deon",209.5,"2018","Deon",1,5,1,10,20,20,20
9254,"SD050616",253.5,"2018","SD050616",5,5,1,10,20,20,40
9255,"SD081038",247.5,"2018","SD081038",5,5,5,10,20,20,30
9256,"MN11115",241.5,"2018","MN11115",1,1,1,10,20,20,40
9257,"IL08-9201",305.5,"2018","IL08-9201",5,1,1,10,20,20,70
9258,"MN08243",219.5,"2018","MN08243",1,0,1,10,20,20,30
9259,"IA02130-2-3",307.5,"2018","IA02130-2-3",5,5,5,10,20,20,60
9260,"MN09230",259.5,"2018","MN09230",5,1,5,10,20,20,40
9261,"SD020883-109",339.5,"2018","SD020883-109",5,1,5,10,20,20,80
9262,"WIX10045-12",54,"2018","WIX10045-12",1,0,1,5,5,5,1
9263,"Marvelous",294.5,"2018","Marvelous",5,1,5,20,20,20,40
9264,"Deon",243.5,"2018","Deon",1,5,5,10,20,20,30
9265,"Deon",195.5,"2018","Deon",1,1,5,10,10,10,40
9266,"ND020965",267.5,"2018","ND020965",5,5,5,10,20,20,40
9267,"SD090248",308.5,"2018","SD090248",5,5,1,20,20,20,50
9268,"Portage",327.5,"2018","Portage",5,5,5,10,20,20,70
9269,"Portage",307.5,"2018","Portage",5,5,5,10,20,20,60
9270,"ND090807",382.5,"2018","ND090807",5,5,5,20,20,20,80
9271,"Ogle",407.5,"2018","Ogle",5,NA,5,20,30,20,80
9272,"SD111753",362.5,"2018","SD111753",5,5,5,20,20,20,70
9273,"SD082192",321.5,"2018","SD082192",1,1,1,10,20,20,80
9274,"IL05-7133",347.5,"2018","IL05-7133",5,5,5,10,20,20,80
